dt_iso,city_name,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
2015-01-06 04:00:00+01:00,Valencia,273.142,273.142,273.142,995,86,1,265,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2015-06-15 21:00:00+02:00,Valencia,289.61,288.65,290.93,1018,100,3,330,0.9,0.0,0.0,75,200,thunderstorm,thunderstorm with light rain,11d
2015-06-15 22:00:00+02:00,Valencia,289.24,288.15,290.37,1018,100,2,300,0.9,0.0,0.0,75,201,thunderstorm,thunderstorm with rain,11n
2015-07-18 19:00:00+02:00,Valencia,299.77,298.75,300.93,1013,83,4,120,0.9,0.0,0.0,20,201,thunderstorm,thunderstorm with rain,11d
2015-07-31 23:00:00+02:00,Valencia,295.89,293.71,297.59,1009,88,3,70,3.0,0.0,0.0,90,211,thunderstorm,thunderstorm,11n
2015-08-01 00:00:00+02:00,Valencia,295.34,293.71,297.15,1008,88,4,80,0.3,0.0,0.0,40,211,thunderstorm,thunderstorm,11n
2015-08-06 23:00:00+02:00,Valencia,298.99,297.04,302.15,1015,70,2,110,0.9,0.0,0.0,40,211,thunderstorm,proximity thunderstorm,11n
2015-08-07 22:00:00+02:00,Valencia,300.59,299.26,302.15,1017,70,4,180,0.3,0.0,0.0,75,500,rain,light rain,10n
2015-08-08 17:00:00+02:00,Valencia,295.92,294.82,296.85,1019,94,1,0,0.9,0.0,0.0,40,201,thunderstorm,thunderstorm with rain,11d
2015-08-31 18:00:00+02:00,Valencia,298.79,297.04,301.15,1012,74,2,120,0.3,0.0,0.0,20,201,thunderstorm,thunderstorm with rain,11d
2015-09-12 15:00:00+02:00,Valencia,297.61,295.37,299.15,1014,69,4,90,0.3,0.0,0.0,40,211,thunderstorm,proximity thunderstorm,11d
2015-09-27 17:00:00+02:00,Valencia,291.22,287.04,294.26,1020,82,5,320,0.9,0.0,0.0,40,211,thunderstorm,thunderstorm,11d
2015-10-01 02:00:00+02:00,Valencia,289.74,286.48,292.04,1021,88,0,0,0.0,0.0,0.0,40,802,clouds,scattered clouds,03n
2015-11-08 02:00:00+01:00,Valencia,286.15,286.15,286.15,1029,100,1,54,0.0,0.0,0.0,0,701,mist,mist,50n
2015-11-08 04:00:00+01:00,Valencia,286.15,286.15,286.15,1029,93,1,0,0.0,0.0,0.0,0,701,mist,mist,50n
2016-03-19 08:00:00+01:00,Valencia,284.5,283.95,285.15,1014,93,1,150,0.3,0.0,0.0,90,701,mist,mist,50d
2016-03-19 09:00:00+01:00,Valencia,285.15,284.25,286.15,1014,93,0,0,0.3,0.0,0.0,75,701,mist,mist,50d
2016-03-19 17:00:00+01:00,Valencia,286.77,285.95,288.15,1013,87,1,120,0.3,0.0,0.0,75,300,drizzle,light intensity drizzle,09d
2016-04-05 00:00:00+02:00,Valencia,285.99,284.65,287.15,1001,87,2,210,0.3,0.0,0.0,75,300,drizzle,light intensity drizzle,09n
2016-04-06 01:00:00+02:00,Valencia,284.88,283.85,286.15,1012,87,3,350,0.3,0.0,0.0,75,300,drizzle,light intensity drizzle,09n
2016-04-29 23:00:00+02:00,Valencia,285.47,283.15,288.15,1018,82,1,0,0.3,0.0,0.0,40,300,drizzle,light intensity drizzle,09n
2016-04-30 00:00:00+02:00,Valencia,285.16,282.59,288.15,1019,82,0,0,0.3,0.0,0.0,40,300,drizzle,light intensity drizzle,09n
2016-04-30 01:00:00+02:00,Valencia,285.06,283.15,287.15,1018,93,0,0,0.3,0.0,0.0,40,301,drizzle,drizzle,09n
2016-04-30 02:00:00+02:00,Valencia,284.9,283.15,287.15,1018,93,0,0,0.3,0.0,0.0,40,301,drizzle,drizzle,09n
2016-04-30 03:00:00+02:00,Valencia,284.85,283.15,287.15,1017,93,1,0,0.3,0.0,0.0,40,300,drizzle,light intensity drizzle,09n
2016-04-30 05:00:00+02:00,Valencia,285.05,283.71,286.25,1017,100,1,250,0.3,0.0,0.0,40,300,drizzle,light intensity drizzle,09n
2016-05-08 00:00:00+02:00,Valencia,286.94,284.82,289.15,1008,87,4,70,0.9,0.0,0.0,75,300,drizzle,light intensity drizzle,09n
2016-05-08 01:00:00+02:00,Valencia,286.94,284.82,289.15,1008,87,4,60,0.3,0.0,0.0,75,300,drizzle,light intensity drizzle,09n
2016-05-10 17:00:00+02:00,Valencia,289.26,287.65,291.15,1007,77,3,110,0.3,0.0,0.0,20,211,thunderstorm,thunderstorm,11d
2016-05-10 18:00:00+02:00,Valencia,288.74,287.75,290.37,1008,82,3,90,0.3,0.0,0.0,20,200,thunderstorm,thunderstorm with light rain,11d
2016-05-18 18:00:00+02:00,Valencia,294.26,292.15,297.59,1014,77,6,90,3.0,0.0,0.0,40,200,thunderstorm,thunderstorm with light rain,11d
2016-09-30 02:00:00+02:00,Valencia,288.06,285.37,291.25,1021,86,1,45,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2016-11-27 12:00:00+01:00,Valencia,287.15,287.15,287.15,1009,87,3,60,0.9,0.0,0.0,75,211,thunderstorm,proximity thunderstorm,11d
2016-11-27 13:00:00+01:00,Valencia,287.15,287.15,287.15,1008,87,3,50,0.0,0.0,0.0,40,211,thunderstorm,proximity thunderstorm,11d
2016-11-27 15:00:00+01:00,Valencia,287.15,287.15,287.15,1007,87,7,50,0.3,0.0,0.0,40,211,thunderstorm,proximity thunderstorm,11d
2016-11-27 17:00:00+01:00,Valencia,287.15,287.15,287.15,1007,82,8,50,0.3,0.0,0.0,75,500,rain,light rain,10d
2016-11-27 18:00:00+01:00,Valencia,287.15,287.15,287.15,1007,87,7,40,0.9,0.0,0.0,75,211,thunderstorm,proximity thunderstorm,11n
2016-11-27 19:00:00+01:00,Valencia,287.15,287.15,287.15,1008,82,3,30,0.9,0.0,0.0,75,211,thunderstorm,thunderstorm,11n
2016-11-27 21:00:00+01:00,Valencia,285.15,285.15,285.15,1009,87,7,360,3.0,0.0,0.0,90,211,thunderstorm,thunderstorm,11n
2016-11-27 22:00:00+01:00,Valencia,285.15,285.15,285.15,1008,93,6,320,0.9,0.0,0.0,90,211,thunderstorm,thunderstorm,11n
2016-11-27 23:00:00+01:00,Valencia,285.15,285.15,285.15,1009,93,4,220,3.0,0.0,0.0,90,211,thunderstorm,thunderstorm,11n
2016-11-28 00:00:00+01:00,Valencia,284.15,284.15,284.15,1009,100,2,280,3.0,0.0,0.0,90,211,thunderstorm,thunderstorm,11n
2016-11-28 01:00:00+01:00,Valencia,285.15,285.15,285.15,1008,93,5,320,0.3,0.0,0.0,75,211,thunderstorm,thunderstorm,11n
2016-11-28 03:00:00+01:00,Valencia,284.15,284.15,284.15,1008,93,3,330,0.3,0.0,0.0,75,211,thunderstorm,thunderstorm,11n
2016-11-28 04:00:00+01:00,Valencia,284.15,284.15,284.15,1008,93,2,300,0.3,0.0,0.0,75,211,thunderstorm,thunderstorm,11n
2016-11-28 06:00:00+01:00,Valencia,284.15,284.15,284.15,1008,93,2,310,0.3,0.0,0.0,75,211,thunderstorm,thunderstorm,11n
2017-01-19 19:00:00+01:00,Valencia,280.15,280.15,280.15,1015,100,7,30,3.0,0.0,0.0,75,502,rain,heavy intensity rain,10n
2017-01-19 22:00:00+01:00,Valencia,278.15,278.15,278.15,1017,100,6,110,3.0,0.0,0.0,75,211,thunderstorm,proximity thunderstorm,11n
2017-03-12 23:00:00+01:00,Valencia,283.15,283.15,283.15,1016,87,9,310,0.9,0.0,0.0,75,211,thunderstorm,proximity thunderstorm,11n
2017-04-17 23:00:00+02:00,Valencia,290.15,290.15,290.15,1017,88,1,180,0.3,0.0,0.0,75,211,thunderstorm,proximity thunderstorm,11n
2017-06-04 08:00:00+02:00,Valencia,293.15,293.15,293.15,1017,88,1,0,0.3,0.0,0.0,40,520,rain,light intensity shower rain,09d
2017-06-04 11:00:00+02:00,Valencia,292.15,292.15,292.15,1019,93,2,320,0.9,0.0,0.0,40,521,rain,shower rain,09d
2017-06-04 22:00:00+02:00,Valencia,290.15,290.15,290.15,1015,82,3,10,0.9,0.0,0.0,40,521,rain,shower rain,09n
2017-06-04 23:00:00+02:00,Valencia,290.15,290.15,290.15,1015,88,5,170,0.3,0.0,0.0,40,520,rain,light intensity shower rain,09n
2017-06-05 00:00:00+02:00,Valencia,289.15,289.15,289.15,1013,93,1,0,0.3,0.0,0.0,40,520,rain,light intensity shower rain,09n
2017-06-26 04:00:00+02:00,Valencia,296.15,296.15,296.15,1014,88,5,280,0.3,0.0,0.0,75,211,thunderstorm,proximity thunderstorm,11n
2017-07-07 16:00:00+02:00,Valencia,301.15,301.15,301.15,1016,61,1,0,0.3,0.0,0.0,75,520,rain,light intensity shower rain,09d
2017-08-05 22:00:00+02:00,Valencia,302.15,302.15,302.15,1013,74,4,50,0.3,0.0,0.0,40,211,thunderstorm,proximity thunderstorm,11n
2017-08-29 06:00:00+02:00,Valencia,297.15,297.15,297.15,1014,69,0,0,0.3,0.0,0.0,75,211,thunderstorm,proximity thunderstorm,11n
2017-08-29 07:00:00+02:00,Valencia,295.15,295.15,295.15,1014,88,2,330,0.3,0.0,0.0,40,211,thunderstorm,proximity thunderstorm,11n
2017-09-10 01:00:00+02:00,Valencia,294.15,294.15,294.15,1007,52,3,330,0.3,0.0,0.0,40,211,thunderstorm,proximity thunderstorm,11n
2017-09-30 02:00:00+02:00,Valencia,292.15,292.15,292.15,1021,82,0,0,0.0,0.0,0.0,20,801,clouds,few clouds,02n
2018-02-01 21:00:00+01:00,Valencia,282.15,282.15,282.15,1007,93,3,330,0.9,0.0,0.0,75,701,mist,mist,50n
2018-09-05 10:00:00+02:00,Valencia,299.15,299.15,299.15,1014,78,3,60,0.9,0.0,0.0,40,521,rain,shower rain,09d
2018-09-08 13:00:00+02:00,Valencia,296.15,296.15,296.15,1019,88,1,0,0.3,0.0,0.0,75,211,thunderstorm,proximity thunderstorm,11d
2018-09-18 20:00:00+02:00,Valencia,298.15,298.15,298.15,1017,78,2,70,0.3,0.0,0.0,75,520,rain,light intensity shower rain,09d
2018-09-30 02:00:00+02:00,Valencia,292.15,292.15,292.15,1017,82,2,320,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2018-10-18 18:00:00+02:00,Valencia,289.15,289.15,289.15,1008,100,2,0,3.0,0.0,0.0,90,522,rain,heavy intensity shower rain,09d
2018-10-19 11:00:00+02:00,Valencia,290.15,290.15,290.15,1011,93,4,330,0.9,0.0,0.0,75,211,thunderstorm,proximity thunderstorm,11d
2018-10-20 03:00:00+02:00,Valencia,291.15,291.15,291.15,1018,88,2,310,0.3,0.0,0.0,20,211,thunderstorm,proximity thunderstorm,11n
2018-10-20 04:00:00+02:00,Valencia,291.15,291.15,291.15,1018,93,1,360,0.3,0.0,0.0,20,211,thunderstorm,proximity thunderstorm,11n
2018-10-27 19:00:00+02:00,Valencia,289.15,289.15,289.15,999,82,4,30,0.3,0.0,0.0,75,211,thunderstorm,proximity thunderstorm,11d
2018-11-15 10:00:00+01:00,Valencia,289.15,289.15,289.15,1019,93,3,40,0.9,0.0,0.0,75,521,rain,shower rain,09d
2018-11-15 11:00:00+01:00,Valencia,290.15,290.15,290.15,1019,93,3,50,0.3,0.0,0.0,75,520,rain,light intensity shower rain,09d
2018-11-15 14:00:00+01:00,Valencia,290.15,290.15,290.15,1018,93,2,320,0.3,0.0,0.0,75,520,rain,light intensity shower rain,09d
2018-11-15 15:00:00+01:00,Valencia,290.15,290.15,290.15,1018,93,0,0,0.3,0.0,0.0,75,520,rain,light intensity shower rain,09d
2018-11-15 16:00:00+01:00,Valencia,290.15,290.15,290.15,1018,100,5,60,0.3,0.0,0.0,75,520,rain,light intensity shower rain,09d
2018-11-15 17:00:00+01:00,Valencia,290.15,290.15,290.15,1018,100,4,60,0.3,0.0,0.0,75,520,rain,light intensity shower rain,09d
2018-11-16 21:00:00+01:00,Valencia,290.15,290.15,290.15,1019,93,3,40,0.3,0.0,0.0,75,520,rain,light intensity shower rain,09n
2018-12-13 08:00:00+01:00,Valencia,285.14,284.15,286.15,1011,76,4,270,0.3,0.0,0.0,40,701,mist,mist,50n
2018-12-13 09:00:00+01:00,Valencia,283.64,283.15,284.15,1010,93,2,270,0.3,0.0,0.0,40,701,mist,mist,50d
2015-06-15 21:00:00+02:00,Madrid,287.07,286.85,287.15,1018,87,4,100,0.9,0.0,0.0,75,201,thunderstorm,thunderstorm with rain,11d
2015-06-15 23:00:00+02:00,Madrid,286.96,286.05,287.45,1020,87,3,360,0.3,0.0,0.0,75,500,rain,light rain,10n
2015-07-22 17:00:00+02:00,Madrid,306.63,305.05,309.15,1016,33,5,310,0.3,0.0,0.0,40,500,rain,light rain,10d
2015-08-22 05:00:00+02:00,Madrid,292.57,291.95,293.15,1020,82,6,290,0.3,0.0,0.0,75,520,rain,light intensity shower rain,09n
2015-08-31 18:00:00+02:00,Madrid,298.8,294.85,301.15,1017,44,10,300,0.9,0.0,0.0,40,521,rain,proximity shower rain,09d
2015-09-15 18:00:00+02:00,Madrid,285.65,273.15,290.15,1011,63,5,230,0.3,0.0,0.0,75,300,drizzle,light intensity drizzle,09d
2015-09-16 16:00:00+02:00,Madrid,288.3,273.15,294.15,1004,88,8,240,3.0,0.0,0.0,75,301,drizzle,drizzle,09d
2015-09-16 20:00:00+02:00,Madrid,286.07,273.15,291.15,1005,93,6,210,0.0,0.0,0.0,75,701,mist,mist,50d
2015-09-16 21:00:00+02:00,Madrid,285.68,273.15,290.15,1004,100,4,240,0.9,0.0,0.0,75,301,drizzle,drizzle,09n
2015-09-16 21:00:00+02:00,Madrid,285.68,273.15,290.15,1004,100,4,240,0.9,0.0,0.0,75,701,mist,mist,50n
2015-09-16 22:00:00+02:00,Madrid,285.37,273.15,290.15,1005,88,6,210,0.0,0.0,0.0,75,701,mist,mist,50n
2015-10-01 02:00:00+02:00,Madrid,286.75,285.93,287.15,1021,62,1,10,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2015-10-11 07:00:00+02:00,Madrid,287.11,287.04,287.15,1009,100,1,160,0.9,0.0,0.0,90,501,rain,moderate rain,10n
2015-10-11 08:00:00+02:00,Madrid,287.11,287.04,287.15,1009,100,2,140,0.0,0.0,0.0,75,701,mist,mist,50n
2015-10-11 09:00:00+02:00,Madrid,287.11,287.04,287.15,1009,100,1,180,0.0,0.0,0.0,90,701,mist,mist,50d
2015-10-28 07:00:00+01:00,Madrid,283.15,283.15,283.15,1015,93,4,190,0.3,0.0,0.0,75,310,drizzle,light intensity drizzle rain,09n
2015-11-03 07:00:00+01:00,Madrid,283.15,283.15,283.15,1015,93,1,0,0.3,0.0,0.0,75,301,drizzle,drizzle,09n
2015-11-03 08:00:00+01:00,Madrid,283.15,283.15,283.15,1016,93,3,160,0.0,0.0,0.0,75,701,mist,mist,50d
2015-11-03 09:00:00+01:00,Madrid,283.15,283.15,283.15,1016,93,2,170,0.0,0.0,0.0,75,701,mist,mist,50d
2015-11-04 06:00:00+01:00,Madrid,285.15,285.15,285.15,1023,93,0,140,0.0,0.0,0.0,40,701,mist,mist,50n
2015-11-05 04:00:00+01:00,Madrid,285.15,285.15,285.15,1023,100,1,187,0.0,0.0,0.0,75,300,drizzle,light intensity drizzle,09n
2015-11-05 04:00:00+01:00,Madrid,285.15,285.15,285.15,1023,100,1,187,0.0,0.0,0.0,75,741,fog,fog,50n
2015-11-05 06:00:00+01:00,Madrid,286.15,286.15,286.15,1023,100,1,140,0.0,0.0,0.0,75,741,fog,fog,50n
2015-11-05 06:00:00+01:00,Madrid,286.15,286.15,286.15,1023,100,1,140,0.0,0.0,0.0,75,300,drizzle,light intensity drizzle,09n
2015-11-05 09:00:00+01:00,Madrid,286.64,286.15,287.15,1024,93,2,190,0.0,0.0,0.0,75,741,fog,fog,50d
2015-12-29 01:00:00+01:00,Madrid,283.42,283.15,284.15,1026,87,3,240,0.9,0.0,0.0,75,300,drizzle,light intensity drizzle,09n
2015-12-29 09:00:00+01:00,Madrid,279.2,278.15,280.75,1030,100,1,20,0.0,0.0,0.0,75,701,mist,mist,50d
2015-12-29 11:00:00+01:00,Madrid,280.22,279.15,281.75,1031,100,1,260,0.0,0.0,0.0,75,701,mist,mist,50d
2015-12-31 07:00:00+01:00,Madrid,281.07,280.93,281.15,1025,93,1,360,0.0,0.0,0.0,75,300,drizzle,light intensity drizzle,09n
2015-12-31 08:00:00+01:00,Madrid,281.09,280.93,281.15,1025,100,1,350,0.0,0.0,0.0,75,300,drizzle,light intensity drizzle,09n
2016-01-01 20:00:00+01:00,Madrid,285.89,285.35,286.15,1017,87,10,220,0.3,0.0,0.0,75,500,rain,light rain,10n
2016-01-01 22:00:00+01:00,Madrid,284.54,283.05,285.15,1018,87,5,270,0.3,0.0,0.0,75,500,rain,light rain,10n
2016-01-03 15:00:00+01:00,Madrid,281.29,280.93,281.95,1014,100,5,210,0.0,0.0,0.0,90,300,drizzle,light intensity drizzle,09d
2016-01-03 20:00:00+01:00,Madrid,283.1,282.95,283.15,1012,100,5,210,0.0,0.0,0.0,75,300,drizzle,light intensity drizzle,09n
2016-01-04 20:00:00+01:00,Madrid,281.44,280.93,282.15,1004,87,3,360,0.9,0.0,0.0,75,301,drizzle,drizzle,09n
2016-01-04 21:00:00+01:00,Madrid,281.19,280.93,281.55,1004,93,1,0,0.9,0.0,0.0,75,301,drizzle,drizzle,09n
2016-01-08 21:00:00+01:00,Madrid,283.91,283.65,284.15,1009,93,5,190,0.3,0.0,0.0,75,300,drizzle,light intensity drizzle,09n
2016-01-10 12:00:00+01:00,Madrid,283.92,283.15,284.45,1010,87,7,210,0.3,0.0,0.0,75,300,drizzle,light intensity drizzle,09d
2016-01-10 19:00:00+01:00,Madrid,284.06,283.85,284.15,1007,93,6,190,0.9,0.0,0.0,75,501,rain,moderate rain,10n
2016-01-10 20:00:00+01:00,Madrid,284.09,283.95,284.15,1007,87,7,200,0.3,0.0,0.0,75,301,drizzle,drizzle,09n
2016-01-11 03:00:00+01:00,Madrid,283.85,283.25,284.15,1005,87,8,220,0.0,0.0,0.0,90,300,drizzle,light intensity drizzle,09n
2016-01-11 05:00:00+01:00,Madrid,282.7,281.85,284.15,1005,93,5,260,0.9,0.0,0.0,90,501,rain,moderate rain,10n
2016-01-14 22:00:00+01:00,Madrid,280.12,280.05,280.15,1019,100,2,230,0.0,0.0,0.0,75,741,fog,fog,50n
2016-01-15 00:00:00+01:00,Madrid,280.08,279.95,280.15,1019,100,1,0,0.0,0.0,0.0,75,300,drizzle,light intensity drizzle,09n
2016-01-18 00:00:00+01:00,Madrid,277.29,277.15,277.55,1022,87,2,160,0.3,0.0,0.0,40,500,rain,light rain,10n
2016-01-21 09:00:00+01:00,Madrid,278.57,278.15,279.35,1022,100,1,200,0.0,0.0,0.0,75,701,mist,mist,50d
2016-01-21 11:00:00+01:00,Madrid,278.63,278.15,279.55,1023,100,2,130,0.0,0.0,0.0,75,701,mist,mist,50d
2016-01-22 22:00:00+01:00,Madrid,283.12,283.05,283.15,1033,93,1,0,0.3,0.0,0.0,90,300,drizzle,light intensity drizzle,09n
2016-01-22 22:00:00+01:00,Madrid,283.12,283.05,283.15,1033,93,1,0,0.3,0.0,0.0,90,500,rain,light rain,10n
